,Unnamed: 0,dR/dT,models,experiment,var
308,2,-0.0045659578892599,canesm5,fast,Tadv
309,3,-0.0170023607064425,e3sm,fast,Tadv
310,4,0.0025014070108493,gfdl,fast,Tadv
311,5,-0.0102606711289681,hg2,fast,Tadv
312,6,-0.001519728571777,hg3,fast,Tadv
313,7,0.0051766334342926,ipsl,fast,Tadv
314,8,0.006859859540101,mies2l,fast,Tadv
315,9,-0.0087315653189984,miesm,fast,Tadv
316,10,-0.0106923797096755,mi5,fast,Tadv
317,11,-0.016675457346247,mi6,fast,Tadv
318,12,0.0006728497461232,mpi,fast,Tadv
319,13,0.0006654634486991,mrcgcm,fast,Tadv
320,14,-0.0081737545549462,mresm,fast,Tadv
321,15,-0.0107158683177448,ukesm,fast,Tadv
323,0,0.02924375545958,ccsm4,fast,RH
324,1,0.010090916999103,canam4,fast,RH
325,2,-0.0412745352243746,canesm5,fast,RH
326,3,0.0848072983593883,e3sm,fast,RH
327,4,0.0227443564761874,gfdl,fast,RH
328,5,0.0081228926953905,hg2,fast,RH
329,6,0.0472342330402748,hg3,fast,RH
330,7,-0.028279076975341,ipsl,fast,RH
331,8,0.1367677511572754,mies2l,fast,RH
332,9,0.0800972176051248,miesm,fast,RH
333,10,0.127657096481883,mi5,fast,RH
334,11,0.001012543557925,mi6,fast,RH
335,12,0.0414958712497372,mpi,fast,RH
336,13,0.0240277724043444,mrcgcm,fast,RH
337,14,0.0173308020838693,mresm,fast,RH
338,15,0.0594696674347939,ukesm,fast,RH
340,0,-0.0055285334862563,ccsm4,fast,Omega
341,1,0.0032124009494093,canam4,fast,Omega
342,2,-0.0042256132200188,canesm5,fast,Omega
343,3,-0.0054237538713207,e3sm,fast,Omega
344,4,-0.0078463733623181,gfdl,fast,Omega
345,5,-0.0101672829999146,hg2,fast,Omega
346,6,-0.003267307905067,hg3,fast,Omega
347,7,0.0012410483214143,ipsl,fast,Omega
348,8,-0.0061903925093155,mies2l,fast,Omega
349,9,-0.0057440124847097,miesm,fast,Omega
350,10,-0.008044533889366,mi5,fast,Omega
351,11,-0.0133384813083821,mi6,fast,Omega
352,12,-0.0070000256523204,mpi,fast,Omega
353,13,-0.004639801411277,mrcgcm,fast,Omega
354,14,-0.0043549303409886,mresm,fast,Omega
355,15,-0.0031324148033911,ukesm,fast,Omega
357,0,-0.0062724305560171,ccsm4,fast,WS
358,1,-0.0074989139917135,canam4,fast,WS
359,2,-0.0207231595982798,canesm5,fast,WS
360,3,0.0999838034372791,e3sm,fast,WS
361,4,-0.0001393942452966,gfdl,fast,WS
362,5,0.0084066921144258,hg2,fast,WS
363,6,-0.0014450397972939,hg3,fast,WS
364,7,-0.0052063688195997,ipsl,fast,WS
365,8,0.0251446299128754,mies2l,fast,WS
366,9,0.022870682542711,miesm,fast,WS
367,10,0.0492251096391358,mi5,fast,WS
368,11,0.0207503183973629,mi6,fast,WS
369,12,0.0059119160331105,mpi,fast,WS
370,13,0.0011180903308903,mrcgcm,fast,WS
371,14,0.0084062938381,mresm,fast,WS
372,15,0.0041475615229148,ukesm,fast,WS
374,0,0.4718790379794128,ccsm4,slow,SST
375,1,0.3093684417129634,canam4,slow,SST
376,2,0.7256663320601827,canesm5,slow,SST
377,3,0.3169677596841398,e3sm,slow,SST
378,4,0.3228714789724303,gfdl,slow,SST
379,5,0.1327376569720306,hg2,slow,SST
380,6,0.2703529546691052,hg3,slow,SST
381,7,0.2676277732411462,ipsl,slow,SST
382,8,0.0146822441470313,mies2l,slow,SST
383,9,0.2817509346882451,miesm,slow,SST
384,10,-0.0288341498583583,mi5,slow,SST
385,11,0.2929779744041044,mi6,slow,SST
386,12,-0.1197548287304155,mpi,slow,SST
387,13,0.0611760369030979,mrcgcm,slow,SST
388,14,0.1538144512329869,mresm,slow,SST
389,15,0.2074845188658881,ukesm,slow,SST
391,0,0.0207730366669559,ccsm4,slow,EIS
392,1,0.0449455299874913,canam4,slow,EIS
393,2,0.0058418027759347,canesm5,slow,EIS
394,3,0.0294056865603018,e3sm,slow,EIS
395,4,0.1721766241840387,gfdl,slow,EIS
396,5,-0.0272592336897083,hg2,slow,EIS
397,6,-0.0037523478156732,hg3,slow,EIS
398,7,-0.1637680996703547,ipsl,slow,EIS
399,8,0.0158578478181371,mies2l,slow,EIS
400,9,0.0288908047755143,miesm,slow,EIS
401,10,-0.0201971154639649,mi5,slow,EIS
402,11,-0.1380910419883796,mi6,slow,EIS
403,12,-0.0546581756261897,mpi,slow,EIS
404,13,0.128925527896576,mrcgcm,slow,EIS
405,14,0.0909727891860801,mresm,slow,EIS
406,15,0.0439045902342716,ukesm,slow,EIS
408,0,0.0077723284832665,ccsm4,slow,Tadv
409,1,-6.123925863140946e-05,canam4,slow,Tadv
410,2,-0.0050692671770483,canesm5,slow,Tadv
411,3,5.879106865677873e-06,e3sm,slow,Tadv
